2026 JAN W2 PLAYERS LIST

registered
 
147

started at Jan 17, 2026, 10:00 PM

finished at Jan 17, 2026, 11:28 PM

Position ↑	Player	Current Table	Stack	Status	Requested Participation	
1st	Caxy_. (ID: _IxsB4-Vem)	--	--	Finished	Jan 17, 2026, 5:58:15 PM	
2nd	warkoppp123 (ID: 9BM7vlcsR3)	--	--	Finished	Jan 17, 2026, 9:24:18 PM	
3rd	Dallas1444 (ID: DRBhwIAp70)	--	--	Finished	Jan 17, 2026, 8:09:27 PM	
4th	Johnsey.sol (ID: T9a8V_E9Vo)	--	--	Finished	Jan 17, 2026, 6:21:57 PM	
5th	Nasara🤞 (ID: dihjiepbrM)	--	--	Finished	Jan 17, 2026, 7:59:08 PM	
6th	Kalone7 (ID: uinQh8AvfX)	--	--	Finished	Jan 17, 2026, 8:52:10 PM	
7th	Blitz09722 (ID: 25atjbi_Bt)	--	--	Finished	Jan 17, 2026, 8:54:35 PM	
8th	zaki28 (ID: 1BgXuRZHqj)	--	--	Finished	Jan 17, 2026, 10:03:43 PM	
9th	SukoBig4L (ID: ONAI4Mg2FO)	--	--	Finished	Jan 17, 2026, 9:59:39 PM	
10th	Grazza666 (ID: da1tQHlN2O)	--	--	Finished	Jan 17, 2026, 8:51:38 PM	
11th	guysonfire (ID: BM7U_0C4t8)	--	--	Finished	Jan 17, 2026, 9:11:34 PM	
12th	Kyuubi #2156 (ID: -UfIixoupa)	--	--	Finished	Jan 17, 2026, 5:44:37 PM	
13th	Saffsarts (ID: O543qhbRLD)	--	--	Finished	Jan 17, 2026, 8:55:16 PM	
14th	Hopp#8460 (ID: EH20T2qJZY)	--	--	Finished	Jan 17, 2026, 6:11:12 PM	
15th	Celossky (ID: ReGnvgceoa)	--	--	Finished	Jan 17, 2026, 9:23:33 PM	
16th	Pinkrest (ID: TFWDLaVzLq)	--	--	Finished	Jan 17, 2026, 9:13:55 PM	
17th	Kiyoshi_Nobu (ID: ohpTKLv4xF)	--	--	Finished	Jan 17, 2026, 8:27:04 PM	
18th	Lizzy0221 (ID: 6cyXGyvCcJ)	--	--	Finished	Jan 17, 2026, 8:54:42 PM	
19th	Narrrf (ID: olH4xBb2eX)	--	--	Finished	Jan 17, 2026, 6:31:22 PM	
20th	Proton 🕯️ (ID: TWPrp9NqSD)	--	--	Finished	Jan 17, 2026, 8:26:46 PM	
21st	GaroB (ID: fn4B3IEk4_)	--	--	Finished	Jan 17, 2026, 6:26:49 PM	
22nd	ASPIRING42 (ID: 4F__mpiIE4)	--	--	Finished	Jan 17, 2026, 6:21:51 PM	
23rd	Suraina (ID: wKw-P0i1FR)	--	--	Finished	Jan 17, 2026, 5:39:40 PM	
24th	Sholly16 (ID: 5tm21P_aSX)	--	--	Finished	Jan 17, 2026, 8:55:51 PM	
25th	Treeplea (ID: JJS58NGRxi)	--	--	Finished	Jan 17, 2026, 8:58:26 PM	
26th	Altitude6915 (ID: 28Ajfm5Bi7)	--	--	Finished	Jan 17, 2026, 8:51:32 PM	
27th	masdesma1 (ID: YhcREMdx0R)	--	--	Finished	Jan 17, 2026, 9:24:46 PM	
28th	spunky (ID: bh2KjDksSw)	--	--	Finished	Jan 17, 2026, 8:55:09 PM	
